TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Christmas Coffee Mug with Color Inside/ Gnome Christmas Coffee Mug","Add a splash of color to your morning coffee or tea ritual! These ceramic mugs not only have a  beautiful design on them, but also a colorful rim, handle, and inside, so the mug is bound to spice up your mug rack.

Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",10.5,USD,30,"fun_mug,Christmas_mug,flamingo_coffee_mug,cheetah_print,pink_cheetah,leopard_print,reindeer_mug,coffee_lover,Christmas_gift,cute_mug,gnome_coffee_mug",,https://i.etsystatic.com/34205481/r/il/c89db2/4258802348/il_fullxfull.4258802348_q147.jpg,https://i.etsystatic.com/34205481/r/il/1d24a8/4258802406/il_fullxfull.4258802406_clid.jpg,https://i.etsystatic.com/34205481/r/il/bbbfa2/4306199887/il_fullxfull.4306199887_8gtf.jpg,https://i.etsystatic.com/34205481/r/il/258ea7/4306199919/il_fullxfull.4306199919_5znb.jpg,https://i.etsystatic.com/34205481/r/il/8a56a1/4306199953/il_fullxfull.4306199953_myga.jpg,https://i.etsystatic.com/34205481/r/il/aec535/4258802572/il_fullxfull.4258802572_8o4i.jpg,,,,,Color,"Primary color","Black,Pink,Yellow",,,,"634CC527D5712_12578,634CC527D5712_11051,634CC527D5712_11048"
"Sloth Christmas Mug with Color Inside","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",10.5,USD,10,"fun_mug,personalized_mug,pretty_mug,Christmas_mug,flamingo_coffee_mug,fall_mug,sloth_mug,mug,halloween_mug,coffee_mug,custom_mug,camping_mug",,https://i.etsystatic.com/34205481/r/il/57ff74/4306062671/il_fullxfull.4306062671_58qu.jpg,,,,,,,,,,,,,,,,634CB3D57303E_11051
"Flamingo Christmas Mug with Color Inside/ Flamingo Coffee Mug","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",10.5,USD,30,"fun_mug,personalized_mug,Christmas_mug,pretty_mug,flamingo_coffee_mug,fall_mug,sloth_mug,mug,halloween_mug,coffee_mug,custom_mug,camping_mug",,https://i.etsystatic.com/34205481/r/il/9e7444/4306113067/il_fullxfull.4306113067_t3k8.jpg,https://i.etsystatic.com/34205481/r/il/38b608/4306113099/il_fullxfull.4306113099_pn0o.jpg,https://i.etsystatic.com/34205481/r/il/e6d1a6/4258715030/il_fullxfull.4258715030_89m9.jpg,https://i.etsystatic.com/34205481/r/il/deee48/4306113175/il_fullxfull.4306113175_r48o.jpg,https://i.etsystatic.com/34205481/r/il/7f0ae4/4258715096/il_fullxfull.4258715096_ikbt.jpg,https://i.etsystatic.com/34205481/r/il/60eea3/4258715124/il_fullxfull.4258715124_dqzk.jpg,,,,,Color,"Primary color","Black,Red,Pink",,,,"634CBA81B2875_11051,634CBA81B2875_11049,634CBA81B2875_12578"
"Halloween Coffee Mug with Color Inside/Funny Witch Coffee Mug","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",10.5,USD,40,"fun_mug,personalized_mug,pretty_mug,flamingo_coffee_mug,fall_mug,mug,halloween_mug,coffee_mug,custom_mug,camping_mug",,https://i.etsystatic.com/34205481/r/il/517512/4306117447/il_fullxfull.4306117447_ex9j.jpg,https://i.etsystatic.com/34205481/r/il/aec1b5/4258719282/il_fullxfull.4258719282_gs1q.jpg,https://i.etsystatic.com/34205481/r/il/792135/4306117593/il_fullxfull.4306117593_r438.jpg,https://i.etsystatic.com/34205481/r/il/70bdf8/4306117653/il_fullxfull.4306117653_qti2.jpg,https://i.etsystatic.com/34205481/r/il/b4ed7a/4258719492/il_fullxfull.4258719492_lk8g.jpg,https://i.etsystatic.com/34205481/r/il/f3e0d2/4258719548/il_fullxfull.4258719548_laa2.jpg,https://i.etsystatic.com/34205481/r/il/2fc578/4258719606/il_fullxfull.4258719606_fmeg.jpg,https://i.etsystatic.com/34205481/r/il/cad1e8/4258719636/il_fullxfull.4258719636_sgxq.jpg,,,Color,"Primary color","Black,Red,Orange,Yellow",,,,"634CBB12DAA4C_11048,634CBB12DAA4C_11049,634CBB12DAA4C_11051,634CBB12DAA4C_12579"
"Fall Coffee Mug with Color Inside/ Personalized Coffee Mug/ Name Coffee Mug","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",10.5,USD,20,"fun_mug,personalized_mug,flamingo_coffee_mug,fall_mug,name_mug,mug,halloween_mug,coffee_mug,custom_mug,camping_mug",,https://i.etsystatic.com/34205481/r/il/7b13d7/4306123111/il_fullxfull.4306123111_3d9x.jpg,https://i.etsystatic.com/34205481/r/il/258516/4306123081/il_fullxfull.4306123081_pjql.jpg,https://i.etsystatic.com/34205481/r/il/dbb32a/4306123165/il_fullxfull.4306123165_fzpc.jpg,https://i.etsystatic.com/34205481/r/il/d4353e/4306123223/il_fullxfull.4306123223_ioww.jpg,,,,,,,Color,"Primary color","Black,Pink",,,,"634CBBCD488C9_12578,634CBBCD488C9_11051"
"Christmas Coffee Mug, Mug with Color Inside, Reindeer Coffee Mug","Christmas Coffee Mug, Mug with Color Inside, Reindeer Coffee Mug

Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy

• Ceramic
• Height: 3.85″ (9.8 cm)
• Diameter: 3.35″ (8.5 cm)
• White print area
• Color rim, inside, and handle
• Dishwasher and microwave safe",10.5,USD,7,"Christmas_Mug,Christmas_Coffee,Coffee_Lover,Reindeer_Mug,custom_mug,camping_mug,mugs,gift_for_her,retro_mug,christmas_gift",Ceramic,https://i.etsystatic.com/34205481/r/il/cbe69c/4225608833/il_fullxfull.4225608833_a5wu.jpg,https://i.etsystatic.com/34205481/r/il/b9f20c/4225850497/il_fullxfull.4225850497_1gur.jpg,https://i.etsystatic.com/34205481/r/il/23c17c/4177990528/il_fullxfull.4177990528_7oc2.jpg,https://i.etsystatic.com/34205481/r/il/ffac41/4225639995/il_fullxfull.4225639995_j1m1.jpg,https://i.etsystatic.com/34205481/r/il/85bd88/4177991166/il_fullxfull.4177991166_4e8u.jpg,https://i.etsystatic.com/34205481/r/il/009dd6/4177991702/il_fullxfull.4177991702_jp6x.jpg,https://i.etsystatic.com/34205481/r/il/4611b7/4225641507/il_fullxfull.4225641507_1kol.jpg,https://i.etsystatic.com/34205481/r/il/98080d/4249757675/il_fullxfull.4249757675_6guf.jpg,https://i.etsystatic.com/34205481/r/il/efa920/4249758143/il_fullxfull.4249758143_qa71.jpg,https://i.etsystatic.com/34205481/r/il/289ea0/4202104002/il_fullxfull.4202104002_lne2.jpg,,,,,,,632894D7D0053_11049
"Baby's First Christmas Wooden ornaments","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",11,USD,999,"first_Christmas,baby_first,wooden_ornament,christmas_gift",,https://i.etsystatic.com/34205481/r/il/58e59c/4300770263/il_fullxfull.4300770263_gsrv.jpg,https://i.etsystatic.com/34205481/r/il/38cd3b/4300770291/il_fullxfull.4300770291_ssup.jpg,,,,,,,,,,,,,,,634A1C51B6A33_16088
"Baby's First Christmas Wooden ornaments","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",11,USD,10,"baby's_first,first_christmas,christmas_gift,baby_shower",,https://i.etsystatic.com/34205481/r/il/5b634b/4243654708/il_fullxfull.4243654708_f4f9.jpg,https://i.etsystatic.com/34205481/r/il/d2da3a/4243654634/il_fullxfull.4243654634_hxm9.jpg,https://i.etsystatic.com/34205481/r/il/4f9173/4243654676/il_fullxfull.4243654676_j5u3.jpg,https://i.etsystatic.com/34205481/r/il/2b1f9b/4291295495/il_fullxfull.4291295495_o6x3.jpg,,,,,,,,,,,,,63462C7F180EE_16091
"Baby's First Christmas, Baby short sleeve one piece","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",18.5,USD,40,"baby_onesie,first_christmas,baby_first,baby_clothes",,https://i.etsystatic.com/34205481/r/il/84d3a9/4225548702/il_fullxfull.4225548702_elwz.jpg,,,,,,,,,,"Kids' clothing size",Size,"3-6m,6-12m,12-18m,18-24m",,,,"633E28774634C_9438,633E28774634C_9439,633E28774634C_9440,633E28774634C_9441"
"Baby Girl Merry Christmas, Pink Baby short sleeve one piece","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",18.5,USD,40,"pink_baby_onesie,baby_first",,https://i.etsystatic.com/34205481/r/il/fd1f94/4225556912/il_fullxfull.4225556912_kjgw.jpg,,,,,,,,,,"Kids' clothing size",Size,"3-6m,6-12m,12-18m,18-24m",,,,"633E2980180B1_9439,633E2980180B1_9441,633E2980180B1_9438,633E2980180B1_9440"
"Christmas Baseball Tee, 3/4 sleeve raglan shirt","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",20,USD,180,"Pink_Christmas_Tree,Baseball_Mom_Shirt,women's_baseball_tee,custom_christmas_tee,Moms_Baseball_Tee,christmas_sweatshirt,gift_for_her",,https://i.etsystatic.com/34205481/r/il/6f6fa7/4222150904/il_fullxfull.4222150904_741a.jpg,https://i.etsystatic.com/34205481/r/il/99fdc7/4222150960/il_fullxfull.4222150960_ajdm.jpg,https://i.etsystatic.com/34205481/r/il/fb45a7/4222150992/il_fullxfull.4222150992_ntdf.jpg,,,,,,,,Color,"Primary color","White/Black,White/Red,White/Heather Charcoal","Women's clothing size",Size,"XS,S,M,L,XL,2XL","633CBA4455780_8147,633CBA4455780_8149,633CBA4455780_8150,633CBA4455780_8341,633CBA4455780_8342,633CBA4455780_8343,633CBA4455780_8329,633CBA4455780_8330,633CBA4455780_8331,633CBA4455780_8151,633CBA4455780_8146,633CBA4455780_8148,633CBA4455780_8344,633CBA4455780_8345,633CBA4455780_8332,633CBA4455780_8333,633CBA4455780_8346,633CBA4455780_8334"
"Coffee lover's Mug, White glossy mug","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",9,USD,10,"coffee_lover_mug,coffee_mug,fall_mug,cute_fall_mug,mug,halloween_mug,custom_mug,camping_mug,personalized_mugs,personalized_tumbler,gift_for_her",,https://i.etsystatic.com/34205481/r/il/743403/4222055898/il_fullxfull.4222055898_2r0p.jpg,https://i.etsystatic.com/34205481/r/il/b07106/4269713089/il_fullxfull.4269713089_kgft.jpg,,,,,,,,,,,,,,,633CAF7DDCE12_1320
"Coffee lover fall shirt, 3/4 sleeve raglan shirt","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",20,USD,240,"fall_tshirts,cute_fall_shirtt,women's_tee,coffee_lover_shirt,moms_baseball_shirt,coffee_and_fall,coffee_shirt",,https://i.etsystatic.com/34205481/r/il/8e00c4/4272374322/il_fullxfull.4272374322_2spl.jpg,https://i.etsystatic.com/34205481/r/il/62070b/4263504741/il_fullxfull.4263504741_ga5f.jpg,https://i.etsystatic.com/34205481/r/il/7483cb/4215848318/il_fullxfull.4215848318_n6cw.jpg,https://i.etsystatic.com/34205481/r/il/20bbcd/4263504637/il_fullxfull.4263504637_lv16.jpg,https://i.etsystatic.com/34205481/r/il/2e5f15/4215848244/il_fullxfull.4215848244_qxze.jpg,https://i.etsystatic.com/34205481/r/il/071008/4240171570/il_fullxfull.4240171570_4scj.jpg,https://i.etsystatic.com/34205481/r/il/1e83f4/4240171702/il_fullxfull.4240171702_kolm.jpg,https://i.etsystatic.com/34205481/r/il/d26766/4240171872/il_fullxfull.4240171872_4z1q.jpg,https://i.etsystatic.com/34205481/r/il/ab8a56/4287818075/il_fullxfull.4287818075_bv9w.jpg,https://i.etsystatic.com/34205481/r/il/a33266/4287818315/il_fullxfull.4287818315_lvlw.jpg,Color,"Primary color","White/Black,White/Red,White/Heather Charco,White/Kelly","Unisex shirt size",Size,"XS,S,M,L,XL,2X","6339FF1C1FEE0_8146,6339FF1C1FEE0_8147,6339FF1C1FEE0_8148,6339FF1C1FEE0_8149,6339FF1C1FEE0_8150,6339FF1C1FEE0_8151,6339FF1C1FEE0_8329,6339FF1C1FEE0_8330,6339FF1C1FEE0_8331,6339FF1C1FEE0_8332,6339FF1C1FEE0_8333,6339FF1C1FEE0_8334,6339FF1C1FEE0_8335,6339FF1C1FEE0_8336,6339FF1C1FEE0_8337,6339FF1C1FEE0_8338,6339FF1C1FEE0_8339,6339FF1C1FEE0_8340,6339FF1C1FEE0_8341,6339FF1C1FEE0_8342,6339FF1C1FEE0_8343,6339FF1C1FEE0_8344,6339FF1C1FEE0_8345,6339FF1C1FEE0_8346"
"Coffee Lover Fall Sweatshirt, Unisex Premium Sweatshirt","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",26.5,USD,120,"coffee_lover,women's_fall_shirt,women's_sweatshirt,crew_sweatshirt,women's_crew,fall_crew",,https://i.etsystatic.com/34205481/r/il/d1949a/4215865468/il_fullxfull.4215865468_3uh9.jpg,https://i.etsystatic.com/34205481/r/il/a3f292/4263522229/il_fullxfull.4263522229_pa1y.jpg,,,,,,,,,Color,"Primary color","Carbon Grey,White","Women's clothing size",Size,"S,M,L,XL,2X,3X","633A00A4BC584_11244,633A00A4BC584_11245,633A00A4BC584_11246,633A00A4BC584_11247,633A00A4BC584_11250,633A00A4BC584_11251,633A00A4BC584_13261,633A00A4BC584_11248,633A00A4BC584_13259,633A00A4BC584_11249,633A00A4BC584_11252,633A00A4BC584_11253"
"Baseball Tee, Red, white, and Blonde tee, 3/4 sleeve raglan shirt","A stylish spin on the classic baseball raglan. The combed cotton blend makes it super soft, comfortable, and lightweight.

Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",20,USD,180,"custom_tee,baseball_tee,custom,tee,mom_tee,custom_shirt,July_4_shirt,american_shirt,baseball_mom,custom_tshirts,for_women,cute_tee",,https://i.etsystatic.com/34205481/r/il/be36e3/4252855439/il_fullxfull.4252855439_dqou.jpg,https://i.etsystatic.com/34205481/r/il/73aa43/4205202868/il_fullxfull.4205202868_29lx.jpg,https://i.etsystatic.com/34205481/r/il/c92363/4205197106/il_fullxfull.4205197106_sofa.jpg,https://i.etsystatic.com/34205481/r/il/af7ca4/4252855507/il_fullxfull.4252855507_70o3.jpg,https://i.etsystatic.com/34205481/r/il/7102b4/4252860077/il_fullxfull.4252860077_4kvo.jpg,https://i.etsystatic.com/34205481/r/il/eb9b7d/4205201816/il_fullxfull.4205201816_tfod.jpg,https://i.etsystatic.com/34205481/r/il/eb6fcb/4252860299/il_fullxfull.4252860299_2utb.jpg,https://i.etsystatic.com/34205481/r/il/3c0046/4205201980/il_fullxfull.4205201980_2yto.jpg,https://i.etsystatic.com/34205481/r/il/63ccc7/4252860561/il_fullxfull.4252860561_m222.jpg,https://i.etsystatic.com/34205481/r/il/375c54/4252860679/il_fullxfull.4252860679_m4wm.jpg,Color,"Primary color","White/Black,White/Red,White/Heather Charco","Women's clothing size",Size,"XS,S,M,L,XL,2X","6334F29BE48F7_8148,6334F29BE48F7_8150,6334F29BE48F7_8151,6334F29BE48F7_8343,6334F29BE48F7_8330,6334F29BE48F7_8333,6334F29BE48F7_8334,6334F29BE48F7_8146,6334F29BE48F7_8147,6334F29BE48F7_8149,6334F29BE48F7_8341,6334F29BE48F7_8342,6334F29BE48F7_8344,6334F29BE48F7_8345,6334F29BE48F7_8346,6334F29BE48F7_8329,6334F29BE48F7_8331,6334F29BE48F7_8332"
"Custom Tee, Retro Tee, Mom Shirt, Be Kind Shirt3/4 sleeve raglan shirt","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",20,USD,59,"women's__shirt,mom_shirt,mama_shirt,funny_shirt,feminist_shirt,shirts_for_women,happy_shirt,retro_tshirt,custom_shirt,tee,custom,fall_shirt,baseball_tee",,https://i.etsystatic.com/34205481/r/il/6f4a9c/4174044535/il_fullxfull.4174044535_ktyp.jpg,https://i.etsystatic.com/34205481/r/il/eb2de1/4126453270/il_fullxfull.4126453270_qooy.jpg,https://i.etsystatic.com/34205481/r/il/752687/4174153033/il_fullxfull.4174153033_dhi1.jpg,https://i.etsystatic.com/34205481/r/il/ed2df3/4174112971/il_fullxfull.4174112971_cikm.jpg,https://i.etsystatic.com/34205481/r/il/6ac710/4174113385/il_fullxfull.4174113385_i356.jpg,https://i.etsystatic.com/34205481/r/il/f1b89a/4174114493/il_fullxfull.4174114493_54sm.jpg,https://i.etsystatic.com/34205481/r/il/c0bf2c/4126488686/il_fullxfull.4126488686_dgc5.jpg,https://i.etsystatic.com/34205481/r/il/5a0fe6/4174151427/il_fullxfull.4174151427_qj8x.jpg,https://i.etsystatic.com/34205481/r/il/fdff27/4174151883/il_fullxfull.4174151883_h69y.jpg,https://i.etsystatic.com/34205481/r/il/bd5f82/4174152189/il_fullxfull.4174152189_3clm.jpg,"Unisex shirt size",Size,"XS,S,M,L,XL,2X",,,,"631006795B073_8329,631006795B073_8331,631006795B073_8332,631006795B073_8333,631006795B073_8330,631006795B073_8334"
"Blessed Mama Thanksgiving Shirt, 3/4 sleeve raglan shirt","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",20,USD,180,"mom_shirt,tee,custom_shirt,custom,fall_shirt,baseball_tee,for_women,cute_shirt,baseball_mom_tees,custom_shirts,custom_tshirts,baseball",,https://i.etsystatic.com/34205481/r/il/c27c6d/4202270920/il_fullxfull.4202270920_121c.jpg,https://i.etsystatic.com/34205481/r/il/8f8429/4202278378/il_fullxfull.4202278378_po6v.jpg,https://i.etsystatic.com/34205481/r/il/19abbd/4202270874/il_fullxfull.4202270874_qsqs.jpg,https://i.etsystatic.com/34205481/r/il/903802/4249926383/il_fullxfull.4249926383_jp2u.jpg,https://i.etsystatic.com/34205481/r/il/ff32b2/4202275356/il_fullxfull.4202275356_r6pa.jpg,https://i.etsystatic.com/34205481/r/il/56d05a/4202275570/il_fullxfull.4202275570_sjlo.jpg,https://i.etsystatic.com/34205481/r/il/f2bfb6/4202275654/il_fullxfull.4202275654_gy4j.jpg,https://i.etsystatic.com/34205481/r/il/4a8fd7/4202275718/il_fullxfull.4202275718_ll6x.jpg,,,Color,"Primary color","White/Black,White/Red,White/Heather Charco","Women's clothing size",Size,"XS,S,M,L,XL,2X","6333BC73DE069_8146,6333BC73DE069_8147,6333BC73DE069_8148,6333BC73DE069_8149,6333BC73DE069_8150,6333BC73DE069_8151,6333BC73DE069_8329,6333BC73DE069_8330,6333BC73DE069_8331,6333BC73DE069_8332,6333BC73DE069_8333,6333BC73DE069_8334,6333BC73DE069_8341,6333BC73DE069_8342,6333BC73DE069_8343,6333BC73DE069_8344,6333BC73DE069_8345,6333BC73DE069_8346"
"Christmas Doodle Mom Mug, White glossy mug","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",9,USD,999,"coffee_lover,dog_lover,doodle_mom,doodle_lover,christmas_mug,mug,halloween_mug,coffee_mug,custom_mug,fall_mug,camping_mug,personalized_mugs,personalized_tumbler",,https://i.etsystatic.com/34205481/r/il/955ebf/4246826193/il_fullxfull.4246826193_1c10.jpg,https://i.etsystatic.com/34205481/r/il/52b31f/4249875127/il_fullxfull.4249875127_hca3.jpg,https://i.etsystatic.com/34205481/r/il/807b1a/4246826223/il_fullxfull.4246826223_fix6.jpg,https://i.etsystatic.com/34205481/r/il/958cd7/4202216708/il_fullxfull.4202216708_l73m.jpg,https://i.etsystatic.com/34205481/r/il/3d37a2/4202217180/il_fullxfull.4202217180_i2vi.jpg,https://i.etsystatic.com/34205481/r/il/487c62/4249872903/il_fullxfull.4249872903_kpf4.jpg,https://i.etsystatic.com/34205481/r/il/36e161/4202217534/il_fullxfull.4202217534_ae0k.jpg,https://i.etsystatic.com/34205481/r/il/2c78b7/4249873353/il_fullxfull.4249873353_4g77.jpg,https://i.etsystatic.com/34205481/r/il/91bcfb/4202218276/il_fullxfull.4202218276_n20d.jpg,https://i.etsystatic.com/34205481/r/il/b24e54/4249874257/il_fullxfull.4249874257_tb3b.jpg,,,,,,,633272F06D7FB_1320
